PlanetIdentifier,PlanetaryMassJpt,RadiusJpt,SurfaceTempK
Kepler-79 b,,0.33171,
CoRoT-24 b,,0.33,1070
EPIC 211916756 b,,0.33,
Kepler-279 b,,0.32989,
Kepler-1627 b,,0.329,
Kepler-258 c,,0.32898,
Kepler-160 c,,0.32898,
Kepler-119 b,,0.32807,
Kepler-148 c,,0.32807,
Kepler-28 b,,0.32806906,680
Kepler-29 b,0.014184,0.328069,
Kepler-1016 c,,0.328,
Kepler-698 b,,0.328,
Kepler-582 b,,0.328,
Kepler-278 c,,0.32716,
Kepler-219 c,,0.32625,
Kepler-104 d,,0.32625,
KOI-285 b,,0.326,934
Kepler-1128 b,,0.326,
Kepler-967 c,,0.326,
Kepler-608 b,,0.325,
Kepler-1635 b,,0.325,
Kepler-565 b,,0.325,
Kepler-1068 b,,0.324,
WASP-47 d,0.0328,0.324,
Kepler-391 c,,0.3226,
Kepler-559 b,,0.322,
Kepler-869 b,,0.322,
Kepler-359 b,,0.32169,
Kepler-1143 c,,0.321,
JS 183 b,1.67,0.32,
K2-105 b,0.094,0.32,
Kepler-234 c,,0.31987,
Kepler-94 b,0.034099,0.319867,
EPIC 201445392 b,,0.319,
Kepler-729 b,,0.319,
KOI-2672.02,,0.318956,525
Kepler-734 b,,0.318,
Kepler-1015 b,,0.317,
Kepler-1562 b,,0.317,
Kepler-812 b,,0.317,
Kepler-802 b,,0.316,
Kepler-1316 b,,0.316,
Kepler-1524 b,,0.316,
Kepler-1038 b,,0.315,
Kepler-953 b,,0.315,
Kepler-107 e,,0.3144,
Kepler-687 b,,0.314,
Kepler-657 b,,0.314,
Kepler-24 b,,0.31258,
Kepler-357 d,,0.31258,
Kepler-182 c,,0.31258,
Kepler-116 b,,0.31167,
Kepler-95 b,0.040894,0.311666,
Kepler-159 c,,0.31075,
EPIC 211990866 b,,0.31,
EPIC 205071984 c,,0.31,
Kepler-28 c,,0.30984,595
Kepler-276 c,,0.30984,
Kepler-1533 b,,0.309,
Kepler-596 b,,0.309,
Kepler-335 b,,0.30893,
Kepler-310 c,,0.30802,
Kepler-275 c,,0.30802,
Kepler-139 c,,0.30802,
Kepler-268 c,,0.30802,
Kepler-340 c,,0.30711,
Kepler-143 c,,0.30711,
Kepler-103 b,,0.307109,
Kepler-277 c,0.20856,0.3062,
Kepler-79 e,,0.3062,
EPIC 210490365 b,,0.306,
Kepler-712 b,,0.304,
Kepler-616 c,,0.304,
Kepler-711 b,,0.304,
Kepler-11 g,,0.303464,386.4
Kepler-264 b,,0.30346,
Kepler-275 d,,0.30346,
Kepler-1360 b,,0.303,
Kepler-1051 b,,0.303,
Kepler-591 b,,0.302,
Kepler-533 b,,0.302,
Kepler-766 b,,0.302,
Kepler-965 b,,0.302,
Kepler-207 d,,0.30164,
Kepler-1083 b,,0.3,
Kepler-541 b,,0.3,
Kepler-1510 b,,0.3,
Kepler-1057 b,,0.3,
Kepler-684 b,,0.3,
Kepler-609 b,,0.299,
Kepler-1451 b,,0.299,
Kepler-728 b,,0.298,
Kepler-940 b,,0.298,
Kepler-368 b,,0.29708,
Kepler-287 c,,0.29708,
Kepler-199 c,,0.29617,
Kepler-1270 b,,0.296,
Kepler-620 b,,0.296,
Kepler-739 b,,0.296,
Kepler-606 b,,0.295,
Kepler-724 b,,0.294,
Kepler-464 b,,0.294,
Kepler-610 c,,0.294,
Kepler-1467 b,,0.294,
KOI-179.01,,0.2935,
Kepler-1080 b,,0.293,
Kepler-576 b,,0.292,
Kepler-411 c,,0.292,
Kepler-170 b,,0.29162,
Kepler-391 b,,0.29162,
Kepler-307 b,0.023403,0.29162,
Kepler-33 c,0.00252,0.2916,1018.5
Kepler-987 b,,0.291,
Kepler-1097 b,,0.291,
Kepler-726 b,,0.291,
Kepler-188 c,,0.29071,
Kepler-351 c,,0.29071,
Kepler-430 b,,0.29,
Kepler-742 b,,0.289,
KOI-1781.01,,0.289,
Kepler-860 b,,0.289,
Kepler-253 d,,0.28888,
Kepler-1636 b,,0.288,
Kepler-222 b,,0.28797,
Kepler-324 c,,0.28706,
Kepler-312 c,,0.28706,
Kepler-472 b,,0.287,
Kepler-648 b,,0.287,
Kepler-218 c,,0.28615,
Kepler-48 c,0.033219,0.286149,
Kepler-782 b,,0.286,
Kepler-483 b,,0.286,
Kepler-350 c,,0.28524,
Kepler-104 c,,0.28524,
Kepler-146 c,,0.28524,
Kepler-1642 b,,0.285,
Kepler-1634 b,,0.285,
Kepler-1294 b,,0.285,
Kepler-1172 b,,0.285,
Kepler-150 e,,0.28433,
Kepler-224 c,,0.28433,
Kepler-1502 b,,0.284,
Kepler-630 b,,0.284,
Kepler-521 b,,0.284,
Kepler-1094 b,,0.284,
Kepler-227 b,,0.28342,
Kepler-199 b,,0.28342,
Kepler-11 d,0.022964,0.283415,658.7
Kepler-1593 b,,0.283,
Kepler-774 b,,0.283,
Kepler-104 b,,0.2825,
Kepler-209 c,,0.2825,
Kepler-175 c,,0.2825,
Kepler-569 b,,0.282,
Kepler-619 b,,0.282,
Kepler-644 b,,0.281,
Kepler-1001 b,,0.281,
Kepler-232 b,,0.28068,
Kepler-1536 b,,0.28,
Kepler-346 c,,0.27977,
Kepler-238 d,,0.27977,
Kepler-335 c,,0.27977,
Kepler-293 b,,0.27977,
Kepler-1600 b,,0.279,
Kepler-1546 b,,0.279,
Kepler-955 b,,0.279,
Kepler-151 b,,0.27886,
Kepler-351 b,,0.27886,
Kepler-656 b,,0.278,
Kepler-227 c,,0.27704,
Kepler-216 c,,0.27704,
Kepler-385 c,,0.27704,
Kepler-536 b,,0.277,
Kepler-1318 b,,0.277,
Kepler-749 b,,0.277,
Kepler-692 b,,0.277,
Kepler-1641 b,,0.277,
Kepler-245 d,,0.27612,
Kepler-162 c,,0.27612,
Kepler-859 b,,0.276,
Kepler-563 b,,0.276,
Kepler-248 b,,0.27521,
Kepler-476 b,,0.275,
Kepler-681 b,,0.275,
Kepler-941 b,,0.275,
Kepler-180 c,,0.2743,
Kepler-924 b,,0.274,
Kepler-1494 b,,0.274,
Kepler-661 b,,0.274,
Kepler-750 b,,0.274,
KIC 6436029 b,,0.274,
Kepler-338 d,,0.27339,
Kepler-760 b,,0.273,
Kepler-474 b,,0.273,
Kepler-255 c,,0.27248,
Kepler-791 b,,0.272,
Kepler-1518 b,,0.272,
Kepler-463 b,,0.272,
Kepler-1204 b,,0.272,
Kepler-223 d,,0.27157,
Kepler-47 (AB) b,,0.27156828,448.8
Kepler-1490 b,,0.271,
Kepler-676 b,,0.271,
Kepler-498 b,,0.27,
Kepler-20 c,0.051,0.27,759.9
Kepler-893 b,,0.27,
Kepler-1112 b,,0.269,
Kepler-623 b,,0.269,
Kepler-1550 b,,0.269,
Kepler-1267 b,,0.269,
Kepler-530 b,,0.269,
Kepler-809 b,,0.269,
Kepler-679 b,,0.269,
Kepler-1036 b,,0.269,
Kepler-1056 b,,0.269,
Kepler-344 c,,0.26883,
Kepler-154 c,,0.26883,
Kepler-219 b,,0.26883,
KOI-341 c,,0.268,
Kepler-956 b,,0.268,
Kepler-67 b,,0.267923,
Kepler-58 d,,0.26792,
Kepler-123 b,,0.26792,
Kepler-139 b,,0.26792,
Kepler-26 b,0.016097,0.26792,
Kepler-26 c,0.019492,0.26792,
Kepler-221 c,,0.26701,
Kepler-1175 b,,0.267,
Kepler-1341 b,,0.267,
Kepler-978 b,,0.267,
Kepler-153 b,,0.2661,
Kepler-277 b,0.27619,0.2661,
Kepler-1299 b,,0.266,
Kepler-985 b,,0.266,
Kepler-325 b,,0.26519,
Kepler-1354 b,,0.265,
Kepler-741 b,,0.265,
Kepler-993 b,,0.265,
KOI-523.02,0.00535,0.26428,
Kepler-178 b,,0.26428,
Kepler-314 c,,0.26428,
Kepler-29 c,0.012579,0.26427,
Kepler-1129 b,,0.264,
Kepler-650 b,,0.264,
Kepler-735 b,,0.263,
Kepler-465 b,,0.263,
Kepler-1641 c,,0.263,
Kepler-178 c,,0.26246,
Kepler-305 b,,0.26246,
Kepler-90 f,,0.262455,
Kepler-1086 c,,0.262,
Kepler-1202 b,,0.262,
Kepler-1495 b,,0.262,
Kepler-1041 b,,0.262,
Kepler-11 c,0.009028,0.261544,806.8
Kepler-90 d,,0.261544,
Kepler-297 b,,0.26154,
Kepler-276 b,,0.26154,
Kepler-708 b,,0.261,
Kepler-1475 b,,0.261,
Kepler-709 b,,0.261,
Kepler-1052 b,,0.261,
Kepler-736 b,,0.261,
Kepler-769 b,,0.261,
Kepler-549 c,,0.261,
Kepler-170 c,,0.26063,
Kepler-172 c,,0.26063,
Kepler-304 b,,0.26063,
Kepler-142 c,,0.26063,
HIP 41378 b,,0.26,
Kepler-949 b,,0.26,
Kepler-201 c,,0.25972,
Kepler-80 c,,0.25972,
Kepler-105 b,,0.25972,
Kepler-288 c,,0.25972,
Kepler-358 c,,0.25972,
Kepler-716 b,,0.259,
Kepler-642 b,,0.259,
Kepler-1447 b,,0.259,
Kepler-631 b,,0.259,
Kepler-1239 b,,0.259,
Kepler-863 b,,0.259,
Kepler-875 b,,0.259,
Kepler-1554 b,,0.259,
Kepler-600 b,,0.259,
Kepler-133 c,,0.25881,
Kepler-410 A b,,0.258628,
Kepler-805 b,,0.258,
HD 3167 c,,0.258,
Kepler-689 b,,0.258,
Kepler-781 b,,0.258,
Kepler-264 c,,0.2579,
Kepler-58 b,,0.25699,
Kepler-198 b,,0.25699,
Kepler-281 b,,0.25699,
Kepler-130 c,,0.25608,
Kepler-219 d,,0.25608,
Kepler-53 b,,0.25608,
Kepler-276 d,,0.25608,
Kepler-305 c,,0.25608,
Kepler-1011 b,,0.256,
Kepler-593 b,,0.256,
Kepler-921 b,,0.256,
Kepler-66 b,,0.255165,
Kepler-307 c,0.011468,0.25516,
Kepler-259 b,,0.25516,
Kepler-1419 b,,0.255,
Kepler-1388 d,,0.255,
Kepler-1237 b,,0.255,
Kepler-1325 b,,0.255,
Kepler-150 d,,0.25425,
Kepler-192 c,,0.25425,
Kepler-325 d,,0.25425,
Kepler-152 b,,0.25425,
Kepler-800 b,,0.254,
Kepler-466 b,,0.254,
Kepler-24 e,,0.25334,
Kepler-701 b,,0.253,
Kepler-599 b,,0.253,
Kepler-612 b,,0.253,
Kepler-527 b,,0.253,
Gliese 1214 b,0.0195,0.2525,604
Kepler-251 c,,0.25243,
Kepler-251 d,,0.25243,
Kepler-251 e,,0.25243,
Kepler-350 d,,0.25243,
Kepler-1099 b,,0.252,
Kepler-1411 b,,0.252,
Kepler-1538 b,,0.252,
Kepler-585 b,,0.252,
Kepler-555 b,,0.252,
Kepler-1183 b,,0.252,
Kepler-722 c,,0.252,
Kepler-733 b,,0.252,
Kepler-1359 b,,0.252,
Kepler-238 f,,0.25152,
Kepler-172 e,,0.25152,
Kepler-244 b,,0.25152,
Kepler-84 c,,0.25152,
Kepler-1113 b,,0.251,
Kepler-1234 b,,0.251,
Kepler-1333 b,,0.251,
Kepler-752 b,,0.251,
Kepler-892 b,,0.251,
Kepler-193 c,,0.25061,
Kepler-304 d,,0.25061,
Kepler-694 b,,0.25,
Kepler-20 d,0.06,0.25,388.6
Kepler-912 b,,0.25,
Kepler-1469 b,,0.25,
EPIC 201713348 c,,0.25,
Kepler-212 c,,0.2497,
Kepler-192 b,,0.2497,
Kepler-835 b,,0.249,
Kepler-586 b,,0.249,
Kepler-573 b,,0.249,
Kepler-385 b,,0.24879,
Kepler-221 d,,0.24879,
Kepler-164 c,,0.24879,
Kepler-894 b,,0.248,
Kepler-870 b,,0.248,
Kepler-531 b,,0.248,
Kepler-480 b,,0.248,
Kepler-358 b,,0.24787,
Kepler-1077 b,,0.247,
Kepler-970 b,,0.247,
Kepler-1140 b,,0.247,
Kepler-294 c,,0.24696,
Kepler-355 c,,0.24696,
Kepler-233 c,,0.24696,
Kepler-305 d,,0.24696,
Kepler-449 c,,0.2466,
Kepler-290 c,,0.24605,
Kepler-228 c,,0.24605,
Kepler-259 c,,0.24605,
Kepler-819 b,,0.246,
EPIC 201393098 b,,0.246,651
Kepler-1458 b,,0.246,
EPIC 201295312 b,,0.2453,
Kepler-168 c,,0.24514,
EPIC 203826436 c,,0.245,
Kepler-838 b,,0.244,
Kepler-551 b,,0.244,
Kepler-1129 c,,0.244,
Kepler-506 b,,0.244,
Kepler-1567 b,,0.244,
Kepler-836 b,,0.244,
EPIC 203826436 d,,0.244,
Kepler-436 b,,0.244,
Kepler-1118 b,,0.244,
Kepler-292 e,,0.24332,
Kepler-187 c,,0.24332,
Kepler-263 b,,0.24332,
Kepler-357 c,,0.24332,
Kepler-288 d,,0.24332,
Kepler-96 b,,0.243318,
Kepler-1058 b,,0.243,
Kepler-979 b,,0.243,
Kepler-351 d,,0.243,
Kepler-58 c,,0.24241,
Kepler-346 b,,0.24241,
Kepler-80 b,,0.24241,
Kepler-127 c,,0.24241,
Kepler-90 e,,0.242407,
Kepler-1543 b,,0.242,
Kepler-478 b,,0.242,
Kepler-655 b,,0.242,
Kepler-540 b,,0.242,
Kepler-1230 b,,0.242,
Kepler-253 c,,0.2415,
Kepler-299 c,,0.2415,
Kepler-375 c,,0.2415,
Kepler-25 b,,0.2411,1220.6
Kepler-1545 b,,0.241,
Kepler-995 b,,0.241,
Kepler-668 b,,0.241,
Kepler-1539 b,,0.241,
Kepler-1452 b,,0.241,
Kepler-811 b,,0.241,
KOI-2113 c,,0.241,
Kepler-127 d,,0.24058,
Kepler-1369 b,,0.24,
Kepler-1045 b,,0.24,
Kepler-545 b,,0.24,
Kepler-671 b,,0.24,
Kepler-512 b,,0.24,
Kepler-319 c,,0.23967,
Kepler-265 c,,0.23967,
Kepler-221 e,,0.23967,
Kepler-1184 b,,0.239,
Kepler-561 c,,0.239,
Kepler-487 c,,0.239,
PH3 c,0.013,0.239,
Kepler-899 b,,0.239,
K2-26 b,,0.2382,
Kepler-1044 b,,0.238,
Kepler-937 c,,0.238,
Kepler-980 b,,0.238,
Kepler-517 b,,0.238,
Kepler-557 b,,0.238,
Kepler-1453 b,,0.238,
Kepler-257 b,,0.23785,
Kepler-214 b,,0.23785,
Kepler-344 b,,0.23785,
Kepler-242 b,,0.23785,
Kepler-284 c,,0.23785,
Kepler-1110 b,,0.237,
Kepler-880 b,,0.237,
Kepler-1102 b,,0.237,
Kepler-218 d,,0.237,
Kepler-664 b,,0.237,
KIC 10905746 b,,0.237,
Kepler-1642 c,,0.237,
Kepler-963 b,,0.237,
Kepler-1551 b,,0.237,
Kepler-122 e,,0.23694,
Kepler-115 c,,0.23694,
Kepler-84 e,,0.23694,
Kepler-176 c,,0.23694,
Kepler-265 e,,0.23603,
Kepler-194 c,,0.23603,
Kepler-603 b,,0.236,
Kepler-571 b,,0.236,
Kepler-1134 b,,0.236,
Kepler-1548 b,,0.236,
Kepler-721 b,,0.236,
Kepler-635 b,,0.236,
Kepler-182 b,,0.23512,
Kepler-169 f,,0.23512,
Kepler-525 b,,0.235,
Kepler-588 b,,0.235,
Kepler-1241 b,,0.235,
Kepler-1023 b,,0.235,
Kepler-1054 b,,0.235,
Kepler-581 b,,0.235,
Kepler-944 b,,0.235,
Kepler-945 b,,0.235,
Kepler-722 b,,0.235,
Kepler-245 b,,0.2342,
Kepler-241 c,,0.2342,
Kepler-203 b,,0.2342,
Kepler-313 c,,0.2342,
Kepler-282 e,,0.2342,
Kepler-977 b,,0.234,
Kepler-450 c,,0.234,
KOI-1194 c,,0.234,
Kepler-106 e,0.035137,0.233294,
Kepler-171 c,,0.23329,
Kepler-175 b,,0.23329,
Kepler-1187 b,,0.233,
KOI-1781.03,,0.233,
Kepler-1147 b,,0.233,
Kepler-704 b,,0.233,
Kepler-60 d,0.012,0.232382,
Kepler-156 c,,0.23238,
Kepler-129 c,,0.23238,
Kepler-268 b,,0.23238,
Kepler-663 b,,0.232,
Kepler-1362 b,,0.232,
Kepler-665 b,,0.232,
Kepler-911 b,,0.232,
Kepler-618 b,,0.232,
Kepler-990 b,,0.232,
Kepler-1233 b,,0.232,
Kepler-505 b,,0.232,
Kepler-325 c,,0.23147,
Kepler-843 b,,0.231,
Kepler-1388 b,,0.231,
Kepler-604 b,,0.231,
Kepler-153 c,,0.23056,
Kepler-340 b,,0.23056,
Kepler-313 b,,0.23056,
Kepler-204 b,,0.23056,
HIP 116454 b,0.037182,0.23056,690
Kepler-83 b,,0.23056,
Kepler-1639 b,,0.23,
Kepler-500 b,,0.23,
Kepler-572 b,,0.23,
EPIC 201384232 b,,0.23,615
Kepler-461 b,,0.23,
Kepler-1266 b,,0.23,
Kepler-1018 b,,0.23,
Kepler-361 c,,0.22965,
Kepler-109 c,,0.229648,
Kepler-65 c,,0.2294,
Kepler-532 b,,0.229,
Kepler-879 b,,0.229,
Kepler-1549 b,,0.229,
Kepler-839 b,,0.229,
Kepler-580 b,,0.229,
Kepler-660 b,,0.229,
Kepler-549 b,,0.229,
Kepler-239 c,,0.22874,
Kepler-309 c,,0.22874,
Kepler-81 b,,0.22874,
Kepler-176 d,,0.22874,
Kepler-445 c,,0.228737,
HIP 41378 c,,0.228,
Kepler-1171 b,,0.228,
Kepler-837 b,,0.228,
KOI-370.02,,0.228,
EPIC 201736247 b,,0.228,676
Kepler-640 b,,0.228,
Kepler-126 d,,0.22783,
Kepler-298 d,,0.22783,
Kepler-254 d,,0.22783,
Kepler-106 c,0.032841,0.227826,
Kepler-1043 b,,0.227,
Kepler-1211 b,,0.227,
Kepler-788 b,,0.227,
Kepler-902 b,,0.227,
Kepler-961 b,,0.227,
Kepler-1535 b,,0.227,
Kepler-852 b,,0.227,
Kepler-1116 b,,0.227,
KOI-1860 c,,0.227,
Kepler-577 b,,0.227,
Kepler-991 b,,0.227,
EPIC 201754305 c,,0.227,
Kepler-342 d,,0.22691,
Kepler-265 d,,0.22691,
Kepler-184 d,,0.22691,
Kepler-11 f,0.006291,0.226003,525.3
Kepler-266 b,,0.226,
Kepler-903 c,,0.226,
Kepler-256 d,,0.226,
Kepler-727 b,,0.226,
EPIC 220674823 c,,0.226,
Kepler-896 b,,0.226,
Kepler-203 c,,0.22509,
Kepler-306 d,,0.22509,
Kepler-198 c,,0.22509,
Kepler-263 c,,0.22509,
Kepler-310 d,,0.22509,
Kepler-269 b,,0.22509,
Kepler-82 e,,0.22509,
Kepler-84 b,,0.22509,
Kepler-1350 b,,0.225,
Kepler-748 b,,0.225,
Kepler-201 b,,0.22418,
Kepler-397 b,,0.22418,
Kepler-1033 b,,0.224,
Kepler-243 b,,0.22327,
Kepler-164 d,,0.22327,
Kepler-738 b,,0.223,
Kepler-659 b,,0.223,
Kepler-1168 b,,0.223,
Kepler-481 b,,0.223,
Kepler-672 b,,0.223,
Kepler-1521 b,,0.223,
Kepler-885 b,,0.223,
Kepler-543 b,,0.223,
Kepler-338 b,0.0963,0.22236,
Kepler-1273 b,,0.222,
Kepler-475 b,,0.222,
Kepler-1540 b,,0.222,
Kepler-652 b,,0.222,
Kepler-865 b,,0.222,
Kepler-509 b,,0.222,
Kepler-173 c,,0.22145,
Kepler-147 c,,0.22145,
Kepler-233 b,,0.22145,
Kepler-713 b,,0.221,
Kepler-846 b,,0.221,
Kepler-758 b,,0.221,
Kepler-1030 b,,0.221,
KOI-1860 b,,0.221,
Kepler-114 d,,0.22054,
Kepler-1632 b,,0.22,
Kepler-1101 b,,0.22,
Kepler-1307 b,,0.22,
Kepler-1552 b,,0.22,
Kepler-510 b,,0.22,
Kepler-131 b,0.05074,0.219624,
Kepler-343 b,,0.21962,
Kepler-143 b,,0.21962,
Kepler-26 e,,0.21962,
KOI-285 c,,0.219,748
Kepler-1388 e,,0.219,
Kepler-933 b,,0.219,
Kepler-570 b,,0.219,
Kepler-751 b,,0.219,
Kepler-1176 b,,0.219,
Kepler-194 d,,0.21871,
Kepler-112 c,,0.21871,
Kepler-223 e,,0.21871,
Kepler-1086 b,,0.218,
EPIC 201208431 b,,0.218,563
Kepler-675 b,,0.218,
Kepler-238 c,,0.2178,
Kepler-32 d,,0.2178,
Kepler-193 b,,0.2178,
Kepler-152 c,,0.2178,
Kepler-215 d,,0.2178,
Kepler-765 b,,0.217,
Kepler-1526 b,,0.217,
Kepler-616 b,,0.217,
Kepler-786 b,,0.217,
Kepler-189 c,,0.21689,
Kepler-166 c,,0.21689,
Kepler-159 b,,0.21689,
Kepler-22 b,,0.21689,249.6
Kepler-920 b,,0.216,
Kepler-680 b,,0.216,
Kepler-717 b,,0.216,
EPIC 204221263 c,0.031,0.216,
Kepler-336 d,,0.21598,
Kepler-129 b,,0.21598,
Kepler-125 b,,0.21598,
Kepler-109 b,,0.215979,
Kepler-112 b,,0.21507,
Kepler-184 b,,0.21507,
Kepler-1182 b,,0.215,
Kepler-1170 b,,0.215,
EPIC 201445392 c,,0.215,
Kepler-1337 b,,0.215,
Kepler-216 b,,0.21416,
Kepler-256 e,,0.21416,
Kepler-306 c,,0.21416,
Kepler-292 f,,0.21416,
Kepler-172 b,,0.21416,
Kepler-49 b,,0.21416,
Kepler-10 c,0.054106,0.214156,584
Kepler-864 b,,0.214,
KIC 8540376 c,,0.214,
EPIC 201613023 b,,0.214,1003
Kepler-1321 c,,0.214,
Kepler-666 b,,0.214,
HD 97658 b,0.023754977,0.213245,757
Kepler-213 c,,0.21324,
Kepler-52 b,,0.21324,
Kepler-171 b,,0.21324,
Kepler-121 b,,0.21324,
Kepler-246 b,,0.21324,
Kepler-122 b,,0.21324,
Kepler-275 b,,0.21324,
Kepler-338 c,,0.21324,
Kepler-574 b,,0.213,
Kepler-897 b,,0.213,
Kepler-592 b,,0.213,
Kepler-575 b,,0.213,
Kepler-614 b,,0.213,
Kepler-798 b,,0.213,
Kepler-1014 b,,0.213,
Kepler-241 b,,0.21233,
Kepler-239 b,,0.21233,
Kepler-287 b,,0.21233,
Kepler-1071 b,,0.212,
Kepler-639 b,,0.212,
EPIC 206318379 b,,0.212,
Kepler-60 c,0.0151,0.212,
Kepler-1060 b,,0.212,
Kepler-1249 b,,0.212,
Kepler-321 c,,0.21142,
Kepler-165 b,,0.21142,
Kepler-454 b,0.02152,0.2114,
Kepler-1214 b,,0.211,
Kepler-986 b,,0.211,
Kepler-535 b,,0.211,
Kepler-651 b,,0.211,
Kepler-1192 b,,0.211,
Kepler-1159 b,,0.211,
Kepler-1022 b,,0.211,
Kepler-1066 b,,0.211,
Kepler-482 b,,0.211,
Kepler-1345 b,,0.211,
Kepler-1154 c,,0.211,
Kepler-1272 b,,0.211,
Kepler-983 b,,0.211,
Kepler-1309 b,,0.211,
Kepler-558 b,,0.211,
Kepler-597 b,,0.211,
Kepler-244 d,,0.21051,
Kepler-1132 b,,0.21,
Kepler-967 b,,0.21,
KOI-4307.01,,0.2097,
Kepler-156 b,,0.2096,
KOI-1873.02,0.07046,0.2096,
Kepler-224 d,,0.2096,
Kepler-116 c,,0.2096,
EPIC 210363145 b,,0.2096,
Kepler-83 c,,0.2096,
Kepler-999 b,,0.209,
Kepler-925 b,,0.209,
Kepler-1158 b,,0.209,
